,b0,b1,b2,b3,b4,a_cz,tau_cz,phi_cz,a_he,delta_he,tau_he,phi_he,chi2,reg
289,123.40167704558469,149.72188360499413,-1.459590960459069,0.0494140324835949,-0.0005608953828330043,826363.322552558,2314.2574800224484,3.0952527284784317,0.004243156468885454,73.47413126661334,619.9121245781525,2.827077984900186,251.12364075616554,4.67357297765876
290,123.09233593822091,149.78567790064096,-1.4647084197117008,0.04959926128045826,-0.0005633934929407421,796924.7465919589,2318.1041036332226,2.9595087101850055,0.004221402358045091,73.37797973872755,618.7459940902495,2.8630749208861506,218.18834946590286,4.707730352879526
291,119.76170315110856,150.47299892568586,-1.516129430946863,0.051261571515323456,-0.0005830563733460226,849127.6889018076,1454.958616867502,3.6236638067768894,0.004064659117357586,72.77051898600503,621.9311979708957,2.757628750867319,170.23551803150093,5.026856637805119
292,124.00718882423136,149.60309286315405,-1.4512624960540605,0.04916973347587631,-0.0005583887845918262,827495.9016756829,2319.015359899087,2.976916657248754,0.004303812491221656,73.51222996847648,620.5239466622434,2.7979300868239907,195.54142440724777,4.6268363788351285
293,119.88050645306406,150.43110517475785,-1.511911715878133,0.051094200993267745,-0.0005807510623175544,796373.1163867987,2311.2612356216773,3.1530790598020673,0.003996684135831763,72.46899992223415,623.6134498451731,2.7269741074836293,266.58148029769643,4.9949314893717345
294,123.05563157656503,149.76630222312656,-1.461286187076561,0.049427284605187,-0.0005606721174991573,807066.7318601387,2325.7354028560117,2.795149200964742,0.004007612859282557,72.4832779896274,620.4720120607531,2.816534692480485,231.3673602544321,4.677035919385577
295,125.64954983826105,149.28452518847644,-1.4284611890165073,0.04845434904661482,-0.0005500623506564872,867930.4767189437,1450.3278801920035,3.7174929628267392,0.004367527368443854,73.77956709593184,620.7465300511217,2.7978707025015104,189.51046409154347,4.493657019206774
296,121.58141008522286,150.10638152869356,-1.4893255928292823,0.0504152849696667,-0.0005732915432870246,824868.2485347023,1451.8007469738977,3.708285929895782,0.004220129617064078,73.35490905730205,619.0054965923989,2.8457605977437783,138.0386834150684,4.8625293560686735
297,120.25852193753897,150.3625386281786,-1.5074108885339046,0.05096895893191204,-0.0005795107978330897,798218.1934584711,2310.3930196240894,3.2480526165905843,0.004014302358913336,72.54349440501655,618.6446448715286,2.869466636128372,258.1321010098303,4.970079769230546
298,121.53553219749298,150.09927584124145,-1.4874191135922776,0.050303844638906414,-0.0005713371887530921,786848.6908256527,2314.5047069869074,3.1151388824789894,0.004140645806589238,73.07532602626367,620.2920186637243,2.8183088651363475,247.76411643318843,4.842571834454729
299,123.98582455041192,149.60237782933314,-1.4508340813591225,0.04914113271483591,-0.0005578422290662469,833495.4854800694,2312.447604902637,3.1620105626562847,0.004148910878596886,73.00100222553152,616.9711499530217,2.9132949255953005,231.4665604354732,4.621984880351222
300,125.32464415453016,149.33371273205353,-1.4311829334100474,0.04851901482195102,-0.0005506265664363741,868716.3400859068,1459.017803941632,3.4863107344806252,0.004149540204918969,72.90052144256603,619.1880232950613,2.844589573078108,196.596341068983,4.506073518945499
301,121.61510912980845,150.08756301554183,-1.4868593784394883,0.05029693376445698,-0.000571392434174636,790075.6940266364,2308.6746509359973,3.281766641256578,0.004107263268983245,72.87077687716514,618.7131172326318,2.850900962788133,146.78672887452947,4.840929628823034
302,121.35449132091618,150.12880492621537,-1.489107542715652,0.050344821772627925,-0.0005716974590020987,832546.0826812102,2312.038989047452,3.189207215056669,0.004101321184277735,72.91219991180878,619.2446571677112,2.834076750106548,245.54805332622038,4.850715496729464
303,124.97101732120011,149.4161613446924,-1.4379581444344538,0.04875531152582027,-0.0005535992408510984,807175.4459792534,2314.332864392239,3.009892244137504,0.004360516087488008,73.63328660820393,618.445357154164,2.8629540974647085,223.4994913416684,4.549366038272541
304,119.3409600213819,150.55118200450516,-1.5216024128852872,0.051432520097646726,-0.0005850815470491913,792002.0349986925,2311.320064559076,3.2107753541334745,0.003937736616269673,72.2482067511001,622.1050520859557,2.758998469712388,221.73405852858306,5.060277380983506
305,120.83662153937452,150.23904019804834,-1.4980282943547683,0.05066216166168444,-0.000575838860538674,787665.1948585856,2315.427567237117,3.0547816353451207,0.003992642651497787,72.47215842950546,619.8445940778516,2.8292218294628864,211.66764645692425,4.910820249438597
306,121.57447659568857,150.0904221307558,-1.4868538829510165,0.05029427789317469,-0.0005713797420360525,835165.2482495103,2317.464865824007,3.0495464398116283,0.004186600853021695,73.24549243200318,621.7244098766749,2.7752312766425042,240.79420089618102,4.840378262620582
307,120.58159388699026,150.28873366786345,-1.5014429690747295,0.05076666445848736,-0.0005770828335982827,820950.9938755953,1447.4540441730305,3.8236569549055464,0.004085471948888039,72.96310057771483,620.5096120831945,2.815439926175337,175.54732907863348,4.930978519225541
308,123.11189781427532,149.7809854787975,-1.4638015297647824,0.049544315531767094,-0.0005624117966922592,822259.3301505485,2317.9108069563226,3.0073826550553004,0.00420971523534445,73.36409655786638,620.5041558839749,2.805227001709973,252.35097955738678,4.698156942576991
309,121.53937029156789,150.08328608969683,-1.485101431598252,0.050195356262677626,-0.0005696902640289066,833984.1208005211,2312.373114945142,3.1584071962974107,0.004096161126633381,72.90964116917857,623.0007911386274,2.7381569543978035,261.35561897304154,4.82272320043869
310,122.06811722895148,149.97611944548305,-1.4771350983193348,0.04994017842739951,-0.000566739546062393,804418.8502100339,2320.1750114838105,2.934729578455162,0.004100215584573802,72.7793921416105,619.8407333564961,2.822255565189562,264.6370607364284,4.773952231100468
311,121.55698572841624,150.10831829490402,-1.4891096409290274,0.05039138323116829,-0.000572759185635261,830107.5736969713,2316.4691298593057,3.0911475465809417,0.00416280939078931,73.19293852784872,618.4271390230679,2.8619724118582575,192.06290022604728,4.85847017528776
312,115.10558039330085,151.30573935789837,-1.5708515578877116,0.05282582268508675,-0.0005994738215829978,602832.3069680468,2564.439095922665,2.519377548418781,0.0038154719640498395,71.87545857644439,612.3557021738341,3.0777143310912756,597.6632631894125,5.341623911664921
313,121.35070041017315,150.15457082872314,-1.492964260687099,0.0505307877025598,-0.0005745872243582281,801798.8627641777,2317.554020366293,2.9890202134658104,0.004223374786300806,73.31397319874722,622.593845097821,2.750180231077046,238.18357059131014,4.884871843494305
