n,l,nu_true,nu,nu_err
18,0,2574.26298333301,2577.249487888891,1.0
19,0,2706.5958695200366,2706.442841308268,1.0
20,0,2839.4762247710332,2838.996749607058,1.0
21,0,2972.726600027053,2971.4520985150593,1.0
22,0,3105.759219427095,3107.4060177845,1.0
23,0,3239.1752414990483,3240.0025893086936,1.0
